Operating Station No.,应到总票数,Qty | Arrived,Data Date
JHR301,10370,10859,2025-04-22
JHR357,9684,8533,2025-04-22
JHR361,3962,3886,2025-04-22
JHR369,2687,2569,2025-04-22
JHR371,9757,8065,2025-04-22
JHR374,2539,2636,2025-04-22
JHR378,3238,2704,2025-04-22
JHR345,12687,12526,2025-04-22
JHR7564,871,934,2025-04-22
JHR382,3043,3679,2025-04-22
JHR384,2933,3687,2025-04-22
JHR302,8708,8589,2025-04-22
JHR315,5545,7062,2025-04-22
JHR7563,3583,3716,2025-04-22
JHR334,3775,4792,2025-04-22
JHR7422,1592,1663,2025-04-22
JHR360,4769,8080,2025-04-22
JHR379,8,0,2025-04-22
JHR307,4570,4878,2025-04-22
JHR310,15305,15746,2025-04-22
JHR319,3199,3771,2025-04-22
JHR343,6006,5968,2025-04-22
JHR366,2864,2921,2025-04-22
JHR373,5526,4890,2025-04-22
JHR376,5521,6041,2025-04-22
JHR381,5,3663,2025-04-22
JHR385,1513,1389,2025-04-22
JHR435,3524,3730,2025-04-22
JHR341,4527,4062,2025-04-22
JHR356,5137,6709,2025-04-22
JHR372,2635,2397,2025-04-22
JHR7401,2022,1798,2025-04-22
JHR383,2289,2144,2025-04-22
JHR389,2699,3281,2025-04-22
JHR336,10026,8130,2025-04-22
JHR362,9757,9867,2025-04-22
JHR368,6973,5705,2025-04-22
JHR370,5738,5918,2025-04-22
JHR349,6344,5982,2025-04-22
JHR350,4280,4296,2025-04-22
JHR359,7989,7911,2025-04-22
JHR365,5088,6530,2025-04-22
JHR375,2491,3209,2025-04-22
JHR377,3582,5451,2025-04-22
JHR380,1294,3183,2025-04-22
JHR429,2550,2499,2025-04-22
JHR354,7350,6468,2025-04-22
JHR7427,0,79,2025-04-22
JHR7429,2963,3396,2025-04-22
JHR358,2240,2300,2025-04-22
JHR7561,1494,1515,2025-04-22
JHR301,4721,6942,2025-04-21
JHR357,3349,3817,2025-04-21
JHR361,2337,2094,2025-04-21
JHR369,1484,1362,2025-04-21
JHR371,3544,4353,2025-04-21
JHR374,1186,2252,2025-04-21
JHR378,104,2579,2025-04-21
JHR345,8091,6956,2025-04-21
JHR7564,691,693,2025-04-21
JHR382,1984,1752,2025-04-21
JHR384,2337,2241,2025-04-21
JHR302,3639,4466,2025-04-21
JHR315,5170,3808,2025-04-21
JHR7563,2002,1712,2025-04-21
JHR334,2809,2542,2025-04-21
JHR7422,666,747,2025-04-21
JHR360,4456,6853,2025-04-21
JHR379,12,0,2025-04-21
JHR307,2412,2919,2025-04-21
JHR310,9132,9097,2025-04-21
JHR319,2661,2324,2025-04-21
JHR343,2483,3351,2025-04-21
JHR366,1281,1695,2025-04-21
JHR373,2660,2764,2025-04-21
JHR376,3466,3008,2025-04-21
JHR381,0,2168,2025-04-21
JHR385,1068,1154,2025-04-21
JHR435,1669,3103,2025-04-21
JHR341,2791,2269,2025-04-21
JHR356,4009,3331,2025-04-21
JHR372,946,1209,2025-04-21
JHR7401,958,1520,2025-04-21
JHR383,974,1096,2025-04-21
JHR389,1818,2515,2025-04-21
JHR336,6275,11511,2025-04-21
JHR362,4607,6362,2025-04-21
JHR368,2195,3175,2025-04-21
JHR370,2562,3195,2025-04-21
