DP No. | Delivery,Destination Postcode,T0_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR302,86007,2025-03-27,1,0,0,0
JHR302,86100,2025-03-27,1,0,0,0
JHR302,90000,2025-03-27,0,1,0,0
JHR302,94200,2025-03-27,1,0,0,0
JHR302,<NA>,2025-03-27,0,0,1,0
JHR307,11900,2025-03-27,0,1,0,0
JHR307,13700,2025-03-27,0,1,0,0
JHR307,26800,2025-03-27,1,3,0,4
JHR307,26820,2025-03-27,1,0,0,0
JHR307,30100,2025-03-27,0,1,0,0
JHR307,43500,2025-03-27,0,1,0,0
JHR307,47000,2025-03-27,0,1,0,0
JHR307,70300,2025-03-27,0,1,0,0
JHR307,71050,2025-03-27,0,0,0,1
JHR307,80000,2025-03-27,0,1,0,0
JHR307,81300,2025-03-27,0,1,0,0
JHR307,81550,2025-03-27,0,0,0,1
JHR307,86000,2025-03-27,1,2,0,0
JHR307,86007,2025-03-27,0,2,0,0
JHR307,86700,2025-03-27,36,361,1,144
JHR307,86800,2025-03-27,37,2979,1,2067
JHR307,86810,2025-03-27,0,6,0,2
JHR307,86900,2025-03-27,0,1,0,0
JHR307,91207,2025-03-27,0,1,0,0
JHR310,10150,2025-03-27,1,0,0,0
JHR310,11500,2025-03-27,0,1,0,0
JHR310,13110,2025-03-27,0,1,0,0
JHR310,15350,2025-03-27,0,1,0,0
JHR310,17500,2025-03-27,0,1,0,0
JHR310,21400,2025-03-27,0,1,0,0
JHR310,21450,2025-03-27,0,1,0,0
JHR310,22100,2025-03-27,0,1,0,0
JHR310,24000,2025-03-27,0,2,0,0
JHR310,24300,2025-03-27,0,1,0,0
JHR310,27000,2025-03-27,0,1,0,0
JHR310,27600,2025-03-27,1,0,0,0
JHR310,28300,2025-03-27,0,1,0,0
JHR310,28400,2025-03-27,1,0,0,0
JHR310,32610,2025-03-27,0,1,0,0
JHR310,33000,2025-03-27,0,1,0,0
JHR310,33200,2025-03-27,0,0,1,0
JHR310,34400,2025-03-27,0,2,0,0
JHR310,34500,2025-03-27,0,1,0,0
JHR310,36000,2025-03-27,0,1,0,0
JHR310,36700,2025-03-27,0,1,0,0
JHR310,40000,2025-03-27,1,0,0,0
JHR310,40460,2025-03-27,0,0,2,1
JHR310,41200,2025-03-27,0,0,1,0
JHR310,41700,2025-03-27,0,0,0,1
JHR310,42000,2025-03-27,0,1,0,0
JHR310,42150,2025-03-27,0,1,0,0
JHR310,43000,2025-03-27,0,1,0,0
JHR310,43500,2025-03-27,1,1,0,0
JHR310,43700,2025-03-27,0,1,0,0
JHR310,45000,2025-03-27,0,1,0,0
JHR310,47000,2025-03-27,0,1,0,0
JHR310,47110,2025-03-27,0,1,0,0
JHR310,47830,2025-03-27,0,1,0,0
JHR310,50000,2025-03-27,0,1,0,0
JHR310,51000,2025-03-27,0,1,0,0
JHR310,5400,2025-03-27,0,1,0,0
JHR310,54200,2025-03-27,0,1,0,0
JHR310,55000,2025-03-27,0,1,0,0
JHR310,59200,2025-03-27,0,1,0,0
JHR310,62150,2025-03-27,1,0,0,0
JHR310,68000,2025-03-27,1,0,0,0
JHR310,68100,2025-03-27,0,1,0,0
JHR310,70400,2025-03-27,0,1,0,0
JHR310,71000,2025-03-27,0,1,0,0
JHR310,71800,2025-03-27,0,2,0,0
JHR310,71900,2025-03-27,0,1,0,0
JHR310,72130,2025-03-27,0,1,0,0
JHR310,75260,2025-03-27,1,0,0,0
JHR310,75460,2025-03-27,0,2,0,0
JHR310,78300,2025-03-27,0,1,0,0
JHR310,8000,2025-03-27,0,2,0,0
JHR310,80000,2025-03-27,1,3,0,0
JHR310,80050,2025-03-27,0,3,0,0
JHR310,80100,2025-03-27,0,1,0,7
JHR310,80110,2025-03-27,2,1,0,0
JHR310,80150,2025-03-27,0,2,1,0
JHR310,80200,2025-03-27,1,0,0,0
JHR310,80250,2025-03-27,0,3,0,0
JHR310,80350,2025-03-27,0,3,0,0
JHR310,80400,2025-03-27,1,0,0,0
JHR310,80538,2025-03-27,0,1,0,0
JHR310,80620,2025-03-27,1,0,0,0
JHR310,80700,2025-03-27,0,5,0,1
JHR310,80710,2025-03-27,2,2,0,0
JHR310,80750,2025-03-27,0,4,0,0
JHR310,81000,2025-03-27,0,1,0,0
JHR310,81100,2025-03-27,4,19,4,4
JHR310,81110,2025-03-27,0,2,0,0
JHR310,81200,2025-03-27,0,4,3,2
JHR310,81250,2025-03-27,0,2,0,0
JHR310,81300,2025-03-27,3,9,1,1
JHR310,81310,2025-03-27,1,6,0,2
JHR310,81400,2025-03-27,1,1,0,0
JHR310,81440,2025-03-27,0,1,0,0
JHR310,81500,2025-03-27,0,1,0,0
JHR310,81700,2025-03-27,892,6029,279,7134
JHR310,81707,2025-03-27,0,1,0,1
JHR310,81750,2025-03-27,150,206,107,156
JHR310,81760,2025-03-27,37,53,18,40
JHR310,81800,2025-03-27,0,1,0,0
JHR310,81850,2025-03-27,0,2,0,0
JHR310,81900,2025-03-27,0,1,0,1
JHR310,81960,2025-03-27,0,1,0,0
JHR310,82100,2025-03-27,1,2,0,0
JHR310,83100,2025-03-27,1,0,0,0
JHR310,84000,2025-03-27,1,0,0,0
JHR310,84040,2025-03-27,0,1,0,0
JHR310,84300,2025-03-27,0,1,0,0
JHR310,86800,2025-03-27,0,1,0,0
JHR310,87000,2025-03-27,0,0,0,1
JHR310,8800,2025-03-27,0,1,0,0
JHR310,88400,2025-03-27,0,1,0,0
JHR310,88450,2025-03-27,0,1,0,0
JHR310,88721,2025-03-27,0,1,0,0
JHR310,89300,2025-03-27,0,2,0,0
JHR310,89908,2025-03-27,0,1,0,0
JHR310,90000,2025-03-27,0,2,0,0
JHR310,90200,2025-03-27,0,2,0,0
JHR310,91000,2025-03-27,0,1,0,0
JHR310,91100,2025-03-27,0,1,0,0
JHR310,91300,2025-03-27,0,1,0,0
JHR310,91308,2025-03-27,0,1,0,0
JHR310,93050,2025-03-27,0,0,0,1
JHR310,93350,2025-03-27,0,1,0,0
JHR310,94600,2025-03-27,0,3,0,0
JHR310,96000,2025-03-27,1,0,0,0
JHR310,<NA>,2025-03-27,0,0,3,0
JHR315,10450,2025-03-27,0,0,0,1
JHR315,11500,2025-03-27,0,1,0,0
JHR315,16020,2025-03-27,2,0,0,0
JHR315,21500,2025-03-27,0,1,0,0
JHR315,24000,2025-03-27,0,1,0,0
JHR315,31200,2025-03-27,0,2,0,0
JHR315,32610,2025-03-27,0,1,0,0
JHR315,40100,2025-03-27,0,0,0,1
JHR315,41250,2025-03-27,1,0,0,0
JHR315,42300,2025-03-27,0,1,0,0
JHR315,42450,2025-03-27,1,0,0,0
JHR315,43200,2025-03-27,0,1,0,0
JHR315,50088,2025-03-27,0,2,0,0
JHR315,52200,2025-03-27,0,1,0,0
JHR315,55200,2025-03-27,0,0,1,0
JHR315,56000,2025-03-27,1,0,0,0
JHR315,68100,2025-03-27,0,1,0,0
JHR315,71450,2025-03-27,0,1,0,0
JHR315,8000,2025-03-27,1,1,0,0
JHR315,80000,2025-03-27,5,8,0,2
JHR315,80050,2025-03-27,1,1,0,2
JHR315,80100,2025-03-27,5,2,0,4
JHR315,80110,2025-03-27,11,2,5,1
JHR315,80200,2025-03-27,0,0,1,0
JHR315,80300,2025-03-27,4,0,4,0
JHR315,80400,2025-03-27,1,0,0,1
JHR315,80514,2025-03-27,0,0,0,1
JHR315,81000,2025-03-27,11,8,10,3
JHR315,81020,2025-03-27,1,0,0,0
JHR315,81030,2025-03-27,44,34,26,31
JHR315,81040,2025-03-27,0,5,0,6
JHR315,81050,2025-03-27,0,4,0,2
JHR315,81100,2025-03-27,16,4,12,3
JHR315,81110,2025-03-27,117,10,206,23
JHR315,81200,2025-03-27,2,5,2,3
JHR315,81250,2025-03-27,0,5,0,2
JHR315,81300,2025-03-27,417,43,650,86
